date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:30	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Dec%202021%2012:30:29%20GMT	http://theme.ridianur.com/robots.txt		(from )
18:00:33	66189/66189	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2012:30:30%20GMT	http://theme.ridianur.com/hampoz/	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/index.html	(from )
18:00:33	5842/5842	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2012:30:33%20GMT	http://gmpg.org/xfn/11	/home/subhankar/websites/demo-sign-shop/gmpg.org/xfn/11.html	(from http://theme.ridianur.com/hampoz/)
18:00:35	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2026%20Dec%202021%2012:30:34%20GMT	http://theme.ridianur.com/hampoz/xmlrpc.php	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/xmlrpc.php	(from http://theme.ridianur.com/hampoz/)
18:00:37	53907/53907	---M--	200	added ('OK')	text/css	date:Fri,%2020%20Nov%202020%2007:12:06%20GMT	http://theme.ridianur.com/hampoz/wp-includes/css/dist/block-library/style.min.css?ver=5.5.7	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-includes/css/dist/block-library/style.min234e.css	(from http://theme.ridianur.com/hampoz/)
18:00:38	1920/1920	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Dec%202020%2000:21:33%20GMT	http://theme.ridianur.com/hampoz/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.2	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/plugins/contact-form-7/includes/css/styles9dff.css	(from http://theme.ridianur.com/hampoz/)
18:00:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2026%20Dec%202021%2012:30:36%20GMT	http://s.w.org/	/home/subhankar/websites/demo-sign-shop/s.w.org/index.html	(from http://theme.ridianur.com/hampoz/)
18:00:38	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Dec%202021%2012:30:36%20GMT	http://fonts.googleapis.com/	/home/subhankar/websites/demo-sign-shop/fonts.googleapis.com/index.html	(from http://theme.ridianur.com/hampoz/)
18:00:38	2269/2269	---MC-	200	added ('OK')	text/css	date:Sun,%2026%20Dec%202021%2012:30:38%20GMT	http://fonts.googleapis.com/css?family=Roboto%3A400%2C700%2C900%7CCatamaran%3A400%2C700%2C800%2C900%26amp%3Bsubset%3Dlatin-ext%2Ctamil%7CPlayfair+Display%3A400%2C400i%2C700%2C700i%26amp%3Bsubset%3Dcyrillic%2Clatin-ext&ver=1.0.0	/home/subhankar/websites/demo-sign-shop/fonts.googleapis.com/css5584.css	(from http://theme.ridianur.com/hampoz/)
18:00:43	121158/121158	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202017%2008:48:18%20GMT	http://theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/bootstrap.min.css?ver=1	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/bootstrap.min68b3.css	(from http://theme.ridianur.com/hampoz/)
18:00:43	31000/31000	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202017%2008:48:18%20GMT	http://theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/font-awesome.min.css?ver=1	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/font-awesome.min68b3.css	(from http://theme.ridianur.com/hampoz/)
18:00:44	6951/6951	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202017%2008:48:18%20GMT	http://theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/magnific-popup.css?ver=1	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/magnific-popup68b3.css	(from http://theme.ridianur.com/hampoz/)
18:00:44	1492/1492	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Feb%202018%2010:18:46%20GMT	http://theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/preloader.css?ver=1	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/preloader68b3.css	(from http://theme.ridianur.com/hampoz/)
18:00:44	4090/4090	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2010%20Mar%202018%2006:02:19%20GMT	http://theme.ridianur.com/hampoz/comments/feed/	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/comments/feed/index.html	(from http://theme.ridianur.com/hampoz/)
18:00:44	31537/31537	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2031%20Aug%202021%2014:37:16%20GMT	http://theme.ridianur.com/hampoz/feed/	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/feed/index.html	(from http://theme.ridianur.com/hampoz/)
18:00:45	25927/25927	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202017%2008:48:18%20GMT	http://theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/animate.css?ver=1	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/animate68b3.css	(from http://theme.ridianur.com/hampoz/)
18:00:47	22077/22077	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202017%2008:48:18%20GMT	http://theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/magic.css?ver=1	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/magic68b3.css	(from http://theme.ridianur.com/hampoz/)
18:00:47	1729/1729	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Oct%202017%2008:48:18%20GMT	http://theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/slick.css?ver=1	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/slick68b3.css	(from http://theme.ridianur.com/hampoz/)
18:00:48	3378/3378	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Mar%202018%2012:29:56%20GMT	http://theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/jquery.fatNav.css?ver=1	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/themes/hampoz/css/jquery.fatNav68b3.css	(from http://theme.ridianur.com/hampoz/)
18:00:52	67238/67238	---M--	200	added ('OK')	text/css	date:Sat,%2010%20Mar%202018%2018:29:04%20GMT	http://theme.ridianur.com/hampoz/wp-content/themes/hampoz/style.css?ver=1	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/themes/hampoz/style68b3.css	(from http://theme.ridianur.com/hampoz/)
18:00:52	17232/17232	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2016:31:09%20GMT	http://theme.ridianur.com/hampoz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.11.0	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min21f9.css	(from http://theme.ridianur.com/hampoz/)
18:00:54	18468/18468	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2016:31:09%20GMT	http://theme.ridianur.com/hampoz/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.1.4	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/plugins/elementor/assets/lib/animations/animations.minaeb9.css	(from http://theme.ridianur.com/hampoz/)
18:00:54	3854/3854	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2016:31:09%20GMT	http://theme.ridianur.com/hampoz/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.1.4	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/plugins/elementor/assets/css/frontend-legacy.minaeb9.css	(from http://theme.ridianur.com/hampoz/)
18:00:58	115200/115200	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2016:31:09%20GMT	http://theme.ridianur.com/hampoz/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.1.4	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/plugins/elementor/assets/css/frontend.minaeb9.css	(from http://theme.ridianur.com/hampoz/)
18:01:00	1022/1022	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Jun%202021%2015:54:03%20GMT	http://theme.ridianur.com/hampoz/wp-content/uploads/elementor/css/post-883.css?ver=1623858843	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/uploads/elementor/css/post-883e20b.css	(from http://theme.ridianur.com/hampoz/)
18:01:00	30999/30999	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Mar%202021%2016:31:09%20GMT	http://theme.ridianur.com/hampoz/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from http://theme.ridianur.com/hampoz/)
18:01:02	10491/10491	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Jun%202021%2015:54:08%20GMT	http://theme.ridianur.com/hampoz/wp-content/uploads/elementor/css/post-6.css?ver=1623858848	/home/subhankar/websites/demo-sign-shop/theme.ridianur.com/hampoz/wp-content/uploads/elementor/css/post-69e02.css	(from http://theme.ridianur.com/hampoz/)
